"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run"
24,6,8,4,"true","false",128,128,4.01175549908627e-09,7
8,2,8,2,"true","false",32,8,1.26654823861289e-09,7
6,6,1,2,"true","true",512,2,1.1836397813052e-10,7
24,6,4,4,"true","false",32,16,1.15010697803177e-09,7
4,1,1,2,"true","true",128,1,3.00227933385271e-10,7
15,5,1,4,"true","true",64,64,3.12101013568782e-09,7
3,1,2,2,"true","true",1024,256,1.61363101076440e-09,7
2,1,16,4,"true","true",64,1,1.35497899716413e-09,7
1,1,16,2,"true","false",32,32,4.30915087598094e-08,7
15,5,16,4,"true","true",32,16,3.88155501045612e-09,7
10,5,2,4,"true","false",1024,32,1.59257641957397e-10,7
2,2,16,2,"true","false",32,2,2.44565455144988e-09,7
12,3,4,2,"true","false",512,16,1.80052534169903e-10,7
12,4,2,4,"true","true",512,16,2.11201911308533e-10,7
12,6,1,2,"true","false",1024,128,4.55317431636846e-10,7
16,4,4,2,"true","false",32,2,2.2972966019556e-10,7
12,3,1,2,"true","false",64,1,1.74273205984036e-10,7
3,3,8,2,"true","true",256,2,7.02150736686682e-10,7
2,2,4,4,"true","false",128,8,9.55217324269298e-10,7
16,4,8,2,"true","true",256,64,1.04114802842054e-09,7
12,6,2,2,"true","false",1024,256,9.68799865473289e-10,7
16,4,16,4,"true","false",32,2,6.09799393695847e-10,7
9,3,8,4,"true","false",128,1,3.29275005149909e-10,7
8,4,2,4,"true","true",512,128,8.00107861762764e-10,7
6,2,1,2,"true","false",512,64,5.53601300536834e-10,7
4,1,8,2,"true","false",32,1,4.91704910977156e-10,7
8,4,8,4,"true","true",256,8,3.77535180266352e-10,7
6,3,8,4,"true","false",512,128,2.23163414364525e-09,7
4,1,8,2,"true","true",1024,1,5.89928752796163e-10,7
4,1,2,2,"true","true",512,512,4.48848483751171e-09,7
1,1,8,4,"true","true",256,256,2.58767652947124e-08,7
9,3,16,2,"true","false",32,16,4.42071849748063e-09,7
12,3,4,2,"true","false",512,8,1.78274481835094e-10,7
10,5,8,4,"true","false",512,128,2.10088145344239e-09,7
1,1,16,4,"true","false",256,1,2.01493976904266e-09,7
12,3,16,4,"true","false",64,32,3.45865602623607e-09,7
3,3,1,2,"true","true",1024,2,1.39222329183687e-10,7
12,3,1,4,"true","false",1024,2,2.29432885373975e-10,7
18,6,1,4,"true","true",1024,16,1.98759837481563e-10,7
4,4,8,4,"true","true",256,8,6.53188236746634e-10,7
16,4,8,4,"true","true",64,16,1.01422195543646e-09,7
4,1,1,2,"true","true",1024,4,3.19879350230451e-10,7
5,5,1,2,"true","false",512,4,1.17865496298058e-10,7
3,3,2,2,"true","true",64,1,3.11051857828523e-10,7
20,5,1,2,"true","false",64,2,1.4944202518166e-10,7
2,1,8,4,"true","true",256,256,1.29425681790162e-08,7
4,1,8,2,"true","false",512,16,4.57604804223081e-10,7
5,5,4,2,"true","true",32,4,1.26237235566352e-09,8
6,2,16,4,"true","false",256,16,9.04602919483457e-10,8
6,2,8,4,"true","true",64,1,4.00820630343074e-10,8
4,4,2,4,"true","false",256,256,6.31067581247021e-09,8
8,4,2,4,"true","false",32,16,1.43933848336664e-09,8
4,1,2,2,"true","false",1024,256,1.21757582506354e-09,8
1,1,8,4,"true","true",128,4,1.28031695579097e-09,8
20,5,4,2,"true","false",512,64,3.71542835718244e-10,8
3,1,1,2,"true","false",128,4,3.29301384994231e-10,8
3,3,8,2,"true","true",1024,16,8.22154600114066e-10,8
3,1,1,4,"true","false",64,16,1.4380139848378e-09,8
12,4,8,4,"true","false",128,128,5.34827008775249e-09,8
12,6,16,2,"true","true",256,256,1.70769056808189e-08,8
4,2,2,2,"true","false",32,16,1.85463705519981e-09,8
20,5,1,2,"true","true",512,32,2.13455275961535e-10,8
8,2,8,2,"true","true",64,32,2.38882565373908e-09,8
4,2,2,2,"true","true",1024,64,2.97996706490166e-10,8
6,2,4,2,"true","false",256,1,2.61136309687568e-10,8
5,5,2,4,"true","true",32,4,7.35170748029999e-10,8
12,4,2,2,"true","false",256,2,2.03209778923924e-10,8
12,4,2,2,"true","false",128,4,2.05350122291659e-10,8
6,2,1,2,"true","true",512,64,5.5266835561853e-10,8
5,5,4,2,"true","true",512,4,4.22219402820468e-10,8
3,1,2,4,"true","false",256,128,3.06775146625786e-09,8
2,1,1,4,"true","false",128,128,5.30873949576968e-09,8
18,6,1,4,"true","false",256,16,2.45804288225157e-10,8
