"","elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel"
"5012",3,3,16,4,"true","true",64,2,1.20537368317894e-09
"4303",4,2,8,4,"true","false",128,128,9.20038733389113e-09
"2954",4,1,1,4,"true","true",32,2,4.20122348792713e-10
"6249",3,3,16,4,"true","false",256,1,1.30984304931447e-09
"9456",4,1,16,2,"true","false",1024,1,9.46951269918215e-10
"19542",18,6,16,2,"true","true",512,4,6.25378081776381e-10
"10892",4,1,2,2,"true","false",1024,32,3.22574616861557e-10
"18434",6,3,8,4,"true","true",256,32,1.12173612494965e-09
"1317",3,3,1,4,"true","true",32,32,3.10904095683070e-09
"8061",10,5,2,2,"true","false",128,2,1.44405719366328e-10
"12139",9,3,1,2,"true","false",256,1,1.99043934332133e-10
"22796",16,4,8,4,"true","true",32,4,5.6622033739039e-10
"9526",2,1,2,4,"true","true",1024,8,2.498764907697e-10
"2299",2,2,16,4,"true","true",512,2,1.46292755043865e-09
"5036",2,2,2,4,"true","true",32,4,1.00664852970439e-09
"21498",24,6,4,4,"true","true",256,64,6.66170296544237e-10
"14566",12,6,8,4,"true","false",128,1,3.48926937025779e-10
"1069",2,1,4,2,"true","false",32,1,6.48264706471477e-10
"13755",15,5,16,4,"true","false",64,1,5.98856075607395e-10
"18494",18,6,1,2,"true","true",256,32,4.07729138656117e-10
"10696",16,4,1,2,"true","false",1024,256,8.05179436721902e-10
"21265",24,6,4,4,"true","true",32,2,2.1826676447115e-10
"20638",6,6,8,2,"true","false",256,256,1.68838189759421e-08
"5209",4,1,16,4,"true","true",512,32,1.00757571645761e-09
"15039",24,6,2,2,"true","false",1024,2,1.93988893118453e-10
"3465",3,3,4,4,"true","true",256,2,5.102423534824e-10
"11689",10,5,1,4,"true","true",64,64,3.12580981919521e-09
"905",2,1,16,2,"true","true",128,8,1.74502831911336e-09
"21833",8,2,4,2,"true","true",1024,4,2.57804915540757e-10
"3048",1,1,2,2,"true","true",64,32,5.38365860448337e-09
"11649",3,1,8,4,"true","true",1024,4,6.45387430297266e-10
"22947",18,6,2,2,"true","true",512,64,5.06643630799654e-10
"12241",8,2,1,4,"true","true",128,4,2.10874750896647e-10
"2249",3,1,4,4,"true","true",128,64,3.06211713042255e-09
"3016",2,1,4,2,"true","true",512,2,4.70591217665594e-10
"8608",12,3,2,2,"true","false",1024,256,8.34212658853075e-10
"6960",6,2,16,2,"true","true",256,32,1.47741069485338e-09
"3220",3,1,16,2,"true","false",32,16,7.17258351517495e-09
"22960",12,4,8,2,"true","true",256,1,2.93485417345536e-10
"3247",2,1,16,4,"true","false",64,16,5.51580643578699e-09
"21808",8,4,2,4,"true","false",256,1,1.54330099514662e-10
"98751",10,5,2,4,"true","false",1024,1024,4.1463372250867e-09
"7372",6,6,4,2,"true","true",512,2,3.94379366808639e-10
"14260",6,3,8,4,"true","false",32,32,7.83514348743181e-09
"10200",4,4,4,4,"true","false",1024,16,5.15836297599105e-10
"168",4,2,1,4,"true","false",128,2,1.92122808570942e-10
"7819",24,6,2,4,"true","false",64,1,1.41924380072479e-10
"14546",16,4,2,2,"true","true",256,8,1.62204929050056e-10
"8725",5,5,4,4,"true","false",512,128,2.71855977873494e-09
"18426",16,4,4,2,"true","false",512,128,7.20710469781031e-10
"13038",18,6,8,2,"true","true",32,8,1.21983845401272e-09
"6315",2,2,1,2,"true","false",512,512,3.84853959824637e-09
"21770",18,6,4,2,"true","false",512,16,1.97976723139462e-10
"20748",8,4,2,2,"true","false",256,32,4.11613628655131e-10
"12397",4,2,8,4,"true","true",1024,1,6.31611712272269e-10
"14012",12,3,8,4,"true","false",128,128,4.17021822340711e-09
"16291",15,5,2,2,"true","true",256,1,1.9414172432414e-10
"8455",1,1,2,4,"true","false",1024,1024,1.07430443006638e-08
"22383",10,5,8,4,"true","true",512,2,3.823718106841e-10
"8968",15,5,1,2,"true","false",128,8,2.50010406226851e-10
"2919",2,1,1,4,"true","false",256,256,5.31375189431766e-09
"3371",3,3,4,4,"true","true",512,512,1.18478395341434e-08
"10223",20,5,2,4,"true","false",512,512,2.83297238207957e-09
