"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run"
6,2,4,2,"true","true",1024,1,3.37821814825677e-10,4
16,4,2,4,"true","false",1024,32,2.07145604749469e-10,4
2,2,16,2,"true","false",512,512,3.21445051241338e-08,4
4,4,1,4,"true","false",1024,1024,3.60938178532476e-09,4
12,3,2,4,"true","true",1024,64,2.77557511343359e-10,4
3,3,1,4,"true","false",128,4,1.42247835907217e-10,4
5,5,16,2,"true","true",512,128,7.43782860875797e-09,4
8,2,16,2,"true","true",512,32,7.34915996344846e-10,4
4,4,2,4,"true","false",512,256,3.23878769974708e-09,4
8,4,16,4,"true","false",128,1,7.32251578345832e-10,4
8,4,16,4,"true","true",32,2,1.1232600011331e-09,4
4,1,2,2,"true","false",64,32,2.33860915296224e-09,4
12,4,16,2,"true","false",512,64,1.35567581503437e-09,4
8,4,16,2,"true","false",256,64,3.38424234057483e-09,4
6,3,4,4,"true","false",1024,2,3.26972413705377e-10,4
3,1,1,4,"true","true",64,1,3.42563078701858e-10,4
9,3,4,2,"true","false",32,32,3.53144725977864e-09,4
15,5,4,4,"true","false",512,8,2.01250566740994e-10,4
6,2,1,4,"true","false",128,8,3.30980560188336e-10,4
1,1,4,4,"true","false",128,8,1.3446454902727e-09,4
4,4,1,4,"true","false",256,16,2.10152945160954e-10,4
24,6,1,4,"true","true",64,32,1.25224669525684e-09,4
8,2,1,4,"true","true",1024,64,3.10619985577529e-10,4
6,3,4,4,"true","false",1024,64,4.8379449393475e-10,4
3,3,1,2,"true","true",128,2,1.37756460324827e-10,4
3,1,1,2,"true","true",64,1,3.39803052629975e-10,4
16,4,4,2,"true","true",32,16,1.26577007978939e-09,4
12,6,1,4,"true","true",128,8,2.11836523555488e-10,4
9,3,2,4,"true","true",256,2,2.26432903395428e-10,4
2,2,16,2,"true","true",1024,128,4.24074572645052e-09,4
4,2,8,4,"true","false",256,8,4.89869259516603e-10,4
2,1,16,4,"true","false",64,1,1.35084808850813e-09,4
6,2,2,2,"true","true",128,32,1.11783635738028e-09,4
18,6,1,4,"true","false",128,16,4.03249594025843e-10,5
12,6,2,4,"true","true",256,2,1.35761365941573e-10,5
15,5,16,2,"true","false",512,32,8.23978406225077e-10,5
18,6,16,2,"true","true",512,1,6.54143132285007e-10,5
